name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
Datagen Systems Private Limited (LAKE X AI),,datagen-systems-private-limited-lake-x-ai,Exhibitor,Exhibitors,ai,http://www.lakex.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d98fd4f8-0aed-426b-9dc5-79331948c234-datagen-systems-private-limited-lake-x-ai-website-logo.png,"LakeX Sovereign AI DataVault is the only sovereign data intelligence platform that archives, governs, and AI-queries your structured and unstructured enterprise data — on-premises, air-gap capable, BFSI-grade.",direct-meta-description,,http://www.lakex.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cc7
DBS Bank,,dbs-bank,Exhibitor,Exhibitors,banking,https://www.dbs.com.sg/index/default.page,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e2563abf-945d-4b1e-97a3-e544c0f84375-DBSBank.png,"We are proud to serve generations of customers in Singapore, who have made us Asia's Safest, Asia's Best.",direct-meta-description,,https://www.dbs.com.sg/index/default.page,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cc8
DCB Bank,,dcb-bank,Gold Partner,Partners,banking,https://www.dcb.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/aa49d0be-2d64-43b5-9de3-7895b8922d79-DCB.png,"DCB Bank offers a range of banking services including Current & Savings Accounts, Fixed Deposits, Debit Cards, and Loan solutions to meet all your financial needs.",apify:apify/website-content-crawler,meta-description,https://www.dcb.bank.in/,2026-08-12T13:30:52Z,,,digital lending,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Indian private sector bank focused on retail, MSME, agriculture and micro-SME banking, and an active partner bank for fintechs.",MSME and micro-enterprise lending;Fintech partnership and sponsor bank services;Retail deposits and loans;Agri and rural finance,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f380
Devrev,DevRev,devrev,Silver Partner,Partners,other,https://devrev.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/da8d93a6-6979-48f9-80dd-79efd3af0621-DeRev.png,"The only enterprise AI platform with Native Shared Memory. Computer reasons across live product, support, and sales data – more efficiently, and more precisely",apify:apify/website-content-crawler,meta-description,https://devrev.ai/,2026-08-12T13:30:52Z,,,AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"AI-native platform unifying customer support, product and engineering workflows around a single knowledge graph.",AI agents for customer support deflection;Linking customer issues to product engineering;Knowledge-graph search across support tickets;Workflow automation for fintech operations,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cc9
Digikhata,,digikhata,Bronze Partner,Partners,other,https://paypointindia.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/1eb5116b-bdf3-44e8-ba17-1c52de4e447e-Digikhata.png,Create Digital shop with PayPoint India. Become a digital center agent and complete CSP registration easily to start your BC business.,direct-meta-description,,https://paypointindia.com,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cca
Digio,,digio,Data Protection & Consent Partner,Partners,regtech,https://www.digio.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/4080cb66-ab5d-4c58-abc6-a9cba0f7632f-digio-website-logo.png,"KYC, Documents, eSign, AML/CFT, DigiLocker & Payments APIs for secure onboarding and documentation. Trusted Digital Infrastructure for businesses.",apify:apify/website-content-crawler,meta-description,https://www.digio.in/,2026-08-12T13:30:52Z,,,KYC and onboarding;AML and compliance;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Digital documentation and onboarding platform offering eSign, eStamp, eNACH mandates, KYC and consent management APIs.",Aadhaar-based eSign for loan agreements;eNACH mandate setup for recurring collections;Digital KYC and video KYC;DPDP-compliant consent capture and audit,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f36c
Digitap.AI,,digitap-ai,Silver Partner,Partners,infra,https://www.digitap.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/dce64642-7845-4f02-b5e8-4c2f71c07500-Digitap.png,AI driven solutions for analysing financial data of customers to enable credit underwriting and powering digital customer onboarding journeys for enterprises in the Banking sector.,direct-meta-description,,https://www.digitap.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,credit underwriting;KYC and onboarding;AI and automation,phrase-match:whatTheyDo,,,,,"Alternative data and AI company providing KYC, bank statement analysis and risk intelligence APIs to lenders.",Bank statement and income analysis;Alternative data credit scoring;Digital KYC and document verification;Fraud detection for digital lending,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f399
Discover,,discover,Global Payments Partner,Partners,payments,https://www.discover.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/8734d429-b29a-4cf3-984b-8eaa0f4b7780-Discover.png,Global card payment network and issuer,curated-public-facts,,,earlier-in-this-session,,,card acceptance;card issuing,phrase-match:whatTheyDo,,,,,US-based payments network and card issuer whose Discover Global Network provides international card acceptance and processing.,Global card acceptance for merchants;Network-to-network payment interoperability;Cross-border card issuance partnerships;Contactless and digital wallet enablement,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f35f
Dista Technology Pvt. Ltd.,,dista-technology-pvt-ltd,Exhibitor,Exhibitors,infra,https://dista.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/92cabdea-df9d-46a2-a45b-0587f87494a4-Dista.png,"Dista empowers businesses with AI-driven location intelligence to optimize field operations, improve efficiency, and achieve faster business expansion.",direct-meta-description,,https://dista.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ccb
Domywork,,domywork,Exhibitor,Exhibitors,other,www.companyhub.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6b4a4019-d096-4f4a-b642-81fad70b5561-domywork-website-logo.png,CompanyHub is a sales automation CRM for sales teams that can be completely tailored for your industry. Try for free & fall in ❤️ with CompanyHub,apify:apify/website-content-crawler,meta-description,https://www.companyhub.com/,2026-08-12T13:30:52Z,,,AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ccc
DoubleTick,,doubletick,Exhibitor,Exhibitors,other,https://doubletick.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d845b7b7-b793-4406-9b01-b4af1ee4c9e9-doubletick-website-logo.png,"Centralize every WhatsApp number, department, and conversation into one secure command center. Unified inbox, bulk messaging, AI chatbots, enterprise governance, and CRM integrations. Rated 4.8/5 on G2. Official Meta Technology Partner.",direct-meta-description,,https://doubletick.io/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,customer communication;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ccd
DreamFolks,,dreamfolks,Gold Partner,Partners,other,https://www.dreamfolks.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/23912932-d189-4075-95eb-268bd272a1de-DreamFolks.png,Global travel and lifestyle services aggregator.,apify:apify/website-content-crawler,homepage-body-text,https://www.dreamfolks.com/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",Airport services aggregator that powers lounge access and travel privileges bundled into bank credit and debit card programmes.,Airport lounge access as a card benefit;Travel privilege programmes for card issuers;Card-linked lifestyle rewards;Loyalty programme fulfilment for banks,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f37d
Eleven Labs,ElevenLabs,eleven-labs,Voice AI Partner,Partners,other,https://elevenlabs.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/b7a9d02b-15aa-4869-8400-c8066737e4ce-ElevenLabs.png,"Create lifelike speech with our AI voice generator and voice agents platform. Access 5,000+ voices in 70+ languages with secure APIs and SDKs.",direct-meta-description,,https://elevenlabs.io/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation;cloud infrastructure,phrase-match:whatTheyDo,,,,,"AI voice technology company providing text-to-speech, voice cloning and conversational voice agents in many languages.",Multilingual voice bots for customer support;Automated collections and reminder calls;Voice-based onboarding in regional languages;Accessible voice interfaces for banking apps,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cce
Equence Technologies,,equence-technologies,Exhibitor,Exhibitors,infra,https://www.equence.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2c03217f-d6d5-4261-9176-2d18450c338b-equence-technologies-website-logo.png,"Equence offers Verified SMS, Two-way SMS API, OTP services, and WhatsApp Business Solutions for secure, multichannel enterprise messaging.",apify:apify/website-content-crawler,meta-description,https://www.equence.com/,2026-08-12T13:30:52Z,,,customer communication;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ccf
Equifax,,equifax,Exhibitor,Exhibitors,other,https://www.equifax.co.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/111d663a-1f94-4b7d-9e3a-567c214fa7a4-equifax-website-logo.png,"We at Equifax help people live their financial best. Our focus is on giving people an equal opportunity to access affordable, mainstream financial services for the things that they want and need in life.",apify:apify/website-content-crawler,meta-description,https://www.equifax.co.in/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd0
Experian,,experian,Credit Innovation Partner,Partners,lending,https://www.experian.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/153d56fd-27a3-4cd2-a25b-4a320838150e-experian-website-logo.png,"Empowering smarter lending and business decisions with trusted credit data, advanced analytics and fraud prevention solutions from Experian India.",direct-meta-description,,https://www.experian.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending;fraud prevention;analytics and reporting,phrase-match:whatTheyDo,,,,,"Global credit bureau and data analytics company providing credit reports, scores, fraud prevention and decisioning software.",Credit bureau scoring for underwriting;Automated loan decisioning engines;Fraud and identity risk screening;Portfolio monitoring and collections prioritisation,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f372
EY,,ey,Supporter,Supporters,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/db0c44ee-678a-4f8c-99d2-c4dc6be8095b-eymarqueeca223b9c6f.png,"EY (Ernst & Young), one of the large global professional services networks, providing assurance, tax, consulting and advisory services.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",,,,,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd1
Fibe,,fibe,Exhibitor,Exhibitors,other,https://www.fibe.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/bb3ae3f3-3155-47fc-88d2-e49045707dcf-Fibe.png,Fibe (formerly EarlySalary): India's largest lending platform. One solution for all life's big and small upgrades. Visit now to apply for a personal loan.,direct-meta-description,,https://www.fibe.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd2
Finacus,,finacus,Exhibitor,Exhibitors,other,https://www.finacus.co.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ea9d364a-e9ae-487d-86f5-398f1fe9a27d-Finacus.png,"Our solutions are highly, adaptive and offer remarkable flexibility, enabling financial institutions and partners to adopt products that are perfectly aligned with their needs. These solutions are available for acquisition and implementation through either the Licensed Model or the SaaS Model.",apify:apify/website-content-crawler,homepage-body-text,https://www.finacus.co.in/,2026-08-12T13:30:52Z,,,cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd3
Financial Technology Association,,financial-technology-association,Ecosystem,Ecosystem,infra,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/8a9e3e71-c517-4076-bd01-73c1d4dc3ab6-FTA.png,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd4
Finarkein,Finarkein Analytics,finarkein,System Of Intelligence Partner,Partners,other,https://finarkein.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/5e86cd14-6a3d-4362-a1ff-7a711ab24bd6-Finarkein.png,"Finarkein helps BFSI companies build intelligent, data-driven solutions across data aggregation, AI/ML powered analytics, and financial services distribution, leveraging Account Aggregator (AA), ONDC, and OCEN.",direct-meta-description,,https://finarkein.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,account aggregation;analytics and reporting;AI and automation,phrase-match:whatTheyDo,,,,,Data infrastructure company building on India's Account Aggregator and DEPA framework to let institutions consume consented financial data.,Account Aggregator data pipelines for lenders;Consented data sharing workflows;Cash-flow underwriting data products;Low-code financial data orchestration,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd5
FinEye,,fineye,Exhibitor,Exhibitors,other,fineye.co,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c07bb619-450e-48d8-9097-6284acdf4d81-FinEye.png,"FinEye offers AI-powered financial statement analysis with tampering detection, cashflow insights, and faster decision-making for lending and finance teams.",apify:apify/website-content-crawler,meta-description,https://fineye.co/,2026-08-12T13:30:52Z,,,digital lending;analytics and reporting;AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd6
Finlock,,finlock,Exhibitor,Exhibitors,other,https://www.zaperon.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/240bf975-8325-4896-9194-f70a83fbc284-finlock-website-logo.png,"One platform that protects your apps, data and cloud with secure connections from users, devices and edge locations.",direct-meta-description,,https://www.zaperon.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd7
Finnulate,,finnulate,Exhibitor,Exhibitors,other,https://finnulate.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/751f761e-7df8-42a8-b20d-bd37e452c944-Finnulate.png,"AI-native compliance management platform for NBFCs, FPIs, and banks. Link regulatory obligations to owned tasks and evidence in one system.",apify:apify/website-content-crawler,meta-description,https://finnulate.ai/,2026-08-12T13:30:52Z,,,AML and compliance;AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd8
Fino Payments,,fino-payments,Exhibitor,Exhibitors,payments,https://www.fino.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/58551cd1-5b04-4970-8933-c63b25c21c1b-FinoPayments.png,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cd9
FinStep Asia,,finstep-asia,Ecosystem,Ecosystem,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ec384480-6652-4161-a0b0-d1f6ddd1db57-FinStep-Asia.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cda
FinTech Armenia,,fintech-armenia,Ecosystem,Ecosystem,infra,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a50f871c-1374-42dd-9846-09d8a8ce0622-FinTechArmenia.png,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cdb
Fintoo,,fintoo,Exhibitor,Exhibitors,other,https://www.fintoo.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ef1050ae-346a-4d1a-9ea2-edaa96a70e08-fintoo-website-logo.png,"Fintoo is an online platform providing solutions for all your Financial planning, Tax planning goals with AI-powered advisory in India",apify:apify/website-content-crawler,meta-description,https://www.fintoo.in/,2026-08-12T13:30:52Z,,,AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cdc
Fintree Finance Pvt. Ltd.,,fintree-finance-pvt-ltd,Exhibitor,Exhibitors,lending,https://fintreefinance.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/5739d42d-e073-4925-824c-eb40b54e8984-fintree-finance-pvt.-ltd.-website-logo.png,Fintree Finance Pvt. Ltd. is an Impact Lender based out of Mumbai & is backed by the veterans from Banking & Fintech Industry.,apify:apify/website-content-crawler,homepage-body-text,https://fintreefinance.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cdd
Firsthive,,firsthive,Silver Partner,Partners,other,https://firsthive.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/00cb8667-52f8-4ad1-a205-39c84df3abfa-firsthive-website-logo.png,"AI-powered CDP and decisioning engine that unifies customer data into a real-time, context-enriched plane and turns every signal into revenue.",direct-meta-description,,https://firsthive.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cde
FIS,,fis,Exhibitor,Exhibitors,other,https://www.fisglobal.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/87772a44-ee7e-4e19-8fe3-6ad382bf4a91-fis-website-logo.png,"FIS is fintech for bold ideas. FIS is behind the financial technology that transforms how we live, work and play.",apify:apify/website-content-crawler,meta-description,https://www.fisglobal.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cdf
Fundamento,,fundamento,Silver Partner,Partners,other,https://fundamento.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/99520bad-c4a2-40ad-b211-9dd726ac1142-Fundamento.png,AI agents that drive business outcomes for financial institutions,apify:apify/website-content-crawler,homepage-body-text,https://fundamento.ai/,2026-08-12T13:30:52Z,,,AI and automation,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce0
Fyno,,fyno,Exhibitor,Exhibitors,other,https://fyno.io/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2186b824-7af2-4a9e-a31a-5e84f20ecd29-Fyno.png,"Fyno is the Communication Orchestration Platform for BFSI. Route, govern, and prove every message across every vendor, without replacing your existing stack.",direct-meta-description,,https://fyno.io/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce1
GeekyAnts,,geekyants,Bronze Partner,Partners,other,https://geekyants.com/en-in,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/4560ad7c-373c-4e2f-aebc-3d166660ffff-GeekyAnts.png,"GeekyAnts is an AI-powered digital product engineering and consulting company helping Indian businesses build, modernize, and scale production-grade products, platforms, and intelligent systems.",direct-meta-description,,https://geekyants.com/en-in,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce2
GEMCARDS,,gemcards,Exhibitor,Exhibitors,other,https://geminisoftware.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/f7634bcf-ff47-409e-a7c1-42896decc8b7-GEMCARDS.png,"IT company in Technopark, Kerala, India, Customized solutions across Maritime, Logistics, Warehouse, cards, Travel, BFSI, ERP, Cloud, and Software Development.",direct-meta-description,,https://geminisoftware.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ce3
