agendaCode,title,day,startTime,endTime,hall,format,track,topics,accessType,isClosedDoor,description,speakerNames,speakersWithTitles,hostNames,hostsWithTitles,status,withdrawnDetectedAt,sourceUrl,lastSeenAt,documentId,year,recordId
A1092,Strengthening India’s Digital Payments Ecosystem: NPCI’s Latest Information Security Measures for a Secure and Resilient AI-driven Future,2026-09-09,14:00,14:40,Cube,Masterclass,"Cyber Resilience, Payment Security, AI Security",Cyber Resilience;Payment Security;AI Security,public,false,"As India's digital payments ecosystem scales rapidly, strengthening information security is essential to preserving trust, resilience, and operational continuity. This masterclass will showcase NPCI's latest information security initiatives, best practices, and ecosystem-wide safeguards designed to address emerging cyber threats in an AI-driven world. Participants will gain insights into secure-by-design principles, cyber resilience, ecosystem risk management, and collaborative approaches to protecting critical payment infrastructure while enabling innovation at scale.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,0a9c9898-0b92-47a8-915b-9c7264235746,2026,6a7c768116afc6a8747c99d3
A0694,"Transforming Banking at Scale: Leadership Perspectives on Strategy, Growth & Technology",2026-09-09,14:10,14:40,Jasmine 3,Trialogue,,,public,false,"This session brings together industry leaders to explore how banks are evolving at scale through strategic innovation, technology adoption, and new growth models. It examines the future competitive landscape, questioning whether traditional banks will retain dominance or be challenged by fintechs and platform players. Leaders will share insights on navigating disruption, driving profitability, and building resilient, future-ready institutions. The discussion offers a forward-looking view of banking in 2035 and beyond.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,2cb8e6be-d145-4e97-a2c6-335f194c7767,2026,6a7c768116afc6a8747c99d5
A0748,"The Future of PPIs: Regulation, Innovation & Emerging Use Cases",2026-09-09,14:20,15:00,Hall 205 A&B,Panel Discussion,"Prepaid Instruments, Wallets & Cards, Transit Payments",Prepaid Instruments;Wallets & Cards;Transit Payments,public,false,"As India's digital payments ecosystem continues to evolve, prepaid payment instruments are expanding into new consumer, merchant, mobility, and enterprise use cases. With growing interoperability, changing customer expectations, and emerging product innovations, issuers are reimagining how prepaid solutions create value across the payments ecosystem. This session explores the opportunities, business models, and partnerships shaping the future of wallets, prepaid cards, and transit payments.",Dilip Modi;Ketan Doshi;Sonia Pankaj Asher,"Dilip Modi, Founder & CEO, Spice Money;Ketan Doshi, Managing Director & CEO, Pay Point India Network;Sonia Pankaj Asher, Executive Chairperson and Whole-Time Director, Paramotor Digital Technology Limited",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,bd948f23-2f35-4a92-a3dc-40576ee80285,2026,6a7c768116afc6a8747c99d7
A0926,Fundraising: A Science or an Art?,2026-09-09,14:20,15:00,The Studio,Masterclass,,,public,false,$2b,,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,ef0ffd4d-f109-4612-b0bb-f9e1d2a5cdcb,2026,6a7c768116afc6a8747c99d8
A0782,Disclosure 2.0: Rethinking Transparency in the Age of Information Overload,2026-09-09,14:30,15:10,Lotus 1,Panel Discussion,"Disclosure, Transparency, Investor Communication",Disclosure;Transparency;Investor Communication,public,false,"From static disclosures to intelligent, contextual communication — how can investor disclosures evolve?",Ajay Agarwal;Sandip Bhagat,"Ajay Agarwal, Company Secretary and Group Head – Secretarial & Group Oversight, HDFC Bank Limited;Sandip Bhagat, Partner, S&R Associates",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,9de33c26-c981-4dd2-af80-d758ed0a9292,2026,6a7c768116afc6a8747c99d6
A0674,Digital Public Infrastructure: A Model for Transformation,2026-09-09,14:40,15:20,Hall 204 A&B,Panel Discussion,"Digital Public Infrastructure, Financial Inclusion, Global Collaboration",Digital Public Infrastructure;Financial Inclusion;Global Collaboration,public,false,"Digital Public Infrastructure (DPI) has demonstrated how foundational digital systems can accelerate financial inclusion, innovation, and economic growth at national scale. As more countries embark on their digital transformation journeys, the opportunity lies not in replicating a single model but in adapting proven principles to local priorities, regulatory frameworks, and market realities. This session will explore how governments, regulators, payment operators, and the private sector can collaborate to build trusted, interoperable, and inclusive digital ecosystems. Drawing on global experiences, the discussion will highlight practical lessons for scaling digital payments, fostering innovation, and creating sustainable, citizen-centric financial infrastructure.",Abeneazer Wondwossen Lakew;Innocent Matshe,"Abeneazer Wondwossen Lakew, Chief Portfolio Officer , Ethswitch;Innocent Matshe, Deputy Governor, Reserve Bank of Zimbabwe",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,8b0dff95-97d6-429d-887e-8de69c7b7258,2026,6a7c768116afc6a8747c99d9
A0718,AI-Powered Commerce: From Payments to Intelligent Financial Experiences,2026-09-09,14:40,15:20,Lotus 2,Panel Discussion,"AI in Commerce, Intelligent Payments, Customer Experience",AI in Commerce;Intelligent Payments;Customer Experience,public,false,"AI is transforming commerce from a series of payment transactions into intelligent, personalised financial experiences. From contextual payments and embedded financial services to predictive offers, autonomous checkout and real-time decisioning, AI is redefining how consumers and businesses interact with money. This session will explore how AI is enabling the next generation of commerce by delivering seamless, secure and personalised experiences while strengthening trust, fraud prevention and customer engagement across the digital economy.",Joe Emmanuel;Karthik Rajaram;Ramakrishnan Gopalan,"Joe Emmanuel, SVP - Product Management, Proximus Global;Karthik Rajaram, General Manager and Country Head for India, ElevenLabs;Ramakrishnan Gopalan, Head of Products & Solutions, India and South Asia, Visa",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,2dc9e5b5-7754-46c0-aa87-75a14cb805b1,2026,6a7c768116afc6a8747c99da
A0491,Real-Time Decisioning: How AI Agents Deliver Contextual Banking,2026-09-09,14:45,15:25,Lotus 3,Panel Discussion,"AI Agents, Contextual Banking, Real-Time Intelligence",AI Agents;Contextual Banking;Real-Time Intelligence,public,false,"As banking becomes increasingly digital and customer expectations shift toward instant, personalized experiences, financial institutions are leveraging AI agents to deliver real-time, context-aware decisioning across customer journeys. This session explores how AI-powered assistants, predictive intelligence, and behavioral analytics are enabling banks to move from reactive servicing to proactive and intelligent engagement.",Ajay Kanwal;Sukhvinder Kaur,"Ajay Kanwal, Managing Director & CEO, Jana SFB;Sukhvinder Kaur, Deputy Managing Director, State Bank of India",Aditya Bhamidipaty,"Aditya Bhamidipaty, Founder & CEO, FirstHive",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,34046bac-112d-40a0-a2f9-e437e39214cf,2026,6a7c768116afc6a8747c99df
A0622,Tokenising Trust: Programmable Credit and Agentic Infrastructure for Last-Mile Lending,2026-09-09,14:45,15:25,Hall 103,Panel Discussion,,,public,false,"As lending ecosystems become increasingly digital, the convergence of tokenisation and agentic AI is creating new possibilities for trusted, programmable credit. By enabling real-time verification, automated compliance, and intelligent decision-making across interconnected financial networks, these technologies can reduce friction in last-mile lending while expanding access for underserved individuals and MSMEs. This session will examine how programmable financial infrastructure can improve transparency, lower costs, strengthen trust, and build more inclusive credit ecosystems for the future.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,87bdb2f2-d6f2-46d6-bbc2-f09ebfd3dc3b,2026,6a7c768116afc6a8747c99dc
A0826,Closing the Last Mile: Extending Supply Chain Finance to Tier 2 and Tier 3 Suppliers,2026-09-09,14:45,15:25,Hall 202,Panel Discussion,"Supply Chain Finance, MSME Credit, Embedded Lending",Supply Chain Finance;MSME Credit;Embedded Lending,public,false,"SCF penetration remains heavily concentrated among large anchor-linked vendors, while smaller suppliers continue to face working capital constraints. Focus on ecosystem-led models, operational challenges and data-driven approaches to financing deeper tiers of supply chains.",Pallavi Shrivastava;Pushkar Mukewar,"Pallavi Shrivastava, Co-founder, Progcap;Pushkar Mukewar, Founder & Chief Executive Officer, Drip Capital",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,b40fb7c1-890f-4b40-8de6-3d9b00b5801d,2026,6a7c768116afc6a8747c99dd
A1091,Algorithmic Accountability: Preparing Financial Institutions for AI-Driven Decision Systems OR Stanford's Blueprint for trustworthy AI-driven Markets OR,2026-09-09,14:45,15:25,Cube,Masterclass,"Algorithmic Accountability, Trust & Technology",Algorithmic Accountability;Trust & Technology,public,false,"A Stanford framework for auditing, explaining, and governing AI-driven decisions in banking and financial services, helping boards take real accountability as algorithms take on greater authority.",Aashish Goel,"Aashish Goel, Professor, Management Science and Engineering, of Computer Science, Stanford University",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,71272bec-b48c-47ec-b58d-1a4d2d84db4b,2026,6a7c768116afc6a8747c99db
A1103,Banking Beyond Boundaries: Building the Future of Inclusive Finance,2026-09-09,14:45,15:15,Jasmine 3,Keynote & Fireside Chat,,,public,false,,,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,4908d970-338c-4548-9c6c-93658075f851,2026,6a7c768116afc6a8747c99de
A0431,"AI, Sustainable Finance & Fin-Infra – Scaling India’s Fintech Ecosystem",2026-09-09,15:10,15:50,The Studio,Panel Discussion,"AI Finance, Sustainable Finance, Fintech Infrastructure",AI Finance;Sustainable Finance;Fintech Infrastructure,public,false,"India stands at the intersection of three transformative forces: artificial intelligence, sustainable finance, and next-generation infrastructure. As the country accelerates toward becoming a multi-trillion-dollar digital economy, fintech innovation is increasingly shaping how capital is mobilized, risks are assessed, and inclusive growth is achieved. This panel will explore how AI-powered financial technologies are enabling smarter investment decisions, strengthening climate finance frameworks. From digital public infrastructure and green financing models to embedded finance, predictive analytics, and regulatory innovation, the discussion will examine the opportunities and challenges of building a resilient and globally competitive fintech ecosystem.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,f900ca3a-2308-47ae-8899-40c980f5827f,2026,6a7c768116afc6a8747c99e2
A0750,Outward Remittances: Serving India's Global Citizens with Smarter Cross-Border Money Movement,2026-09-09,15:10,15:50,Hall 205 A&B,Panel Discussion,"Outward Remittances, LRS, PA-CB Framework",Outward Remittances;LRS;PA-CB Framework,public,false,"India's outward remittance market under LRS is growing rapidly, driven by education, overseas investments, global travel spending, and the growing cross-border payment needs of businesses and digital enterprises. The PA Directions 2025 have now created a dedicated PA-CB (Cross-Border) sub-category covering both inward and outward flows. This session explores how payment aggregators, global payment platforms, payment networks, and licensed entities are building seamless, compliant, and cost-effective cross-border payment infrastructure to support business payments, global commerce, and outward remittance flows, and what the PA-CB framework means for the next phase of cross-border growth.",Atul Mehta;Gaurav Shisodia;Mahesh Iyer;Taneia Bhardwaj,"Atul Mehta, CEO, Pay10;Gaurav Shisodia, Vice President & Country Manager (India), Payoneer;Mahesh Iyer, MD & CEO, Thomas Cook;Taneia Bhardwaj, South Asia Expansion Lead, Wise Payments",Sitashwa Srivastava,"Sitashwa Srivastava, Founder & CEO, Borderless",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,ab16ba8e-9747-4b2d-8a9e-61f8ffc2a45f,2026,6a7c768116afc6a8747c99e1
A0796,Access for the Global Capital: India on the World Map - Harmonising Regulations for Global Investors,2026-09-09,15:15,15:55,Lotus 1,Panel Discussion,"Mutual Funds, Investor Inclusion, Digital Distribution",Mutual Funds;Investor Inclusion;Digital Distribution,public,false,Aligning Indian market practices with global standards to improve ease of entry and participation.,Arun Kohli;Arindam Banerrji;Rajesh H. Gandhi;Pranav Chawda;Alexander Bruce,"Arun Kohli, Managing Director and Country Head of India, Morgan Stanley;Arindam Banerrji, Executive Vice President & Country Head India, State Street;Rajesh H. Gandhi, Partner, Deloitte;Pranav Chawda, CEO & Managing Director, JP Morgan Chase Bank India N.A.;Alexander Bruce, Head of International Strategic Priorities Advocacy, Vanguard",Ruchi Chojer,"Ruchi Chojer, Executive Director (AFD), Securities and Exchange Board of India",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,33b60aee-b7aa-4aaa-bc6e-f85cb41b8f93,2026,6a7c768116afc6a8747c9a7a
A0882,AI for Fraud Detection and Financial Crime Intelligence,2026-09-09,15:20,16:00,Hall 206 A&B,Panel Discussion,"AI for Fraud Detection, Financial Crime Intelligence, Graph Analytics",AI for Fraud Detection;Financial Crime Intelligence;Graph Analytics,invite-only,true,"AI is becoming central to detecting fraud and financial crime as threat patterns grow faster, more coordinated and more difficult to identify through rule-based monitoring alone. This technical session will explore how graph AI, anomaly detection, behavioural analytics and real-time intelligence models can uncover hidden networks, detect suspicious activity and improve investigation outcomes. The discussion will examine data quality, model explainability, false-positive reduction, privacy-safe collaboration and governance frameworks required to build trusted financial crime intelligence systems.",,,Sandesh G S,"Sandesh G S, CTPO, Bureau",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,30d9fb08-aabc-4ed3-88f7-6512dc19c13c,2026,6a7c768116afc6a8747c99e3
A0676,The Economics of the Next Payment Era,2026-09-09,15:25,16:05,Hall 204 A&B,Panel Discussion,,,public,false,"Who pays and who earns in instant, interoperable, tokenised ecosystems Business models beyond interchange and float Where value shifts as infrastructure becomes faster and cheaper",Akhil Devmurari;Louis Liu;Ling Wu,"Akhil Devmurari, FinTech Sector Head, Asia Pacific, J.P. Morgan Payments, J.P. Morgan;Louis Liu, Founder & CEO, FOMO Pay;Ling Wu, Founder & Chief Executive Officer, TBCASoft, Inc.",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,35221096-80c6-4ca8-86d4-953e9ec66dfa,2026,6a7c768116afc6a8747c99e4
A0013,"Emerging Tech in Finance - Promise, Prudence and Policy",2026-09-09,15:30,16:00,Jasmine 3,Keynote Address,"AI in Finance, Responsible Innovation, Financial Regulation",AI in Finance;Responsible Innovation;Financial Regulation,public,false,,,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,dbdbe66c-d900-46f2-abb1-d89936f63b85,2026,6a7c768116afc6a8747c99e7
A0620,Agentic Bharat: Building India's Shared Banking Infrastructure,2026-09-09,15:30,16:10,Hall 103,Panel Discussion,"Programmable Credit, Agentic Lending, Trusted Infrastructure",Programmable Credit;Agentic Lending;Trusted Infrastructure,public,false,"130 million rural cooperative bank members remain digitally excluded. The cooperative network—over 1,500 DCCBs and StCBs—reaches geographies private fintechs will not serve commercially. Shared infrastructure, not bank-by-bank procurement, is the only viable route. Sahakar Sarathi Private Limited (SSPL), as India's designated Shared Services Entity (SSE) for 386 Rural Cooperative Banks (RCBs), is the institutional proof point. Agentic AI on this shared foundation transforms passive access into proactive service—seasonal credit in a member's native language, AI-assisted onboarding, and automated compliance—without a branch visit.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,c9aea4e6-ddc2-40cd-82d7-02f2d64c7ff2,2026,6a7c768116afc6a8747c99e5
A0956,Reimagining Authentication - Aadhaar as techno-legal framework and Amended SWIK Rules,2026-09-09,15:30,16:10,Hall 202,Panel Discussion,"Aadhaar Authentication, Digital Identity, Face Authentication",Aadhaar Authentication;Digital Identity;Face Authentication,public,false,"Authentication is entering a new phase as Aadhaar evolves from an identity layer into a broader techno-legal framework for trusted digital interactions. This session will examine the amended SWIK Rules and their implications for secure, privacy-conscious and consent-led authentication across financial services and digital ecosystems. The discussion will also explore how innovations such as face authentication, sandbox-based testing and SDK-led integration can enable safer onboarding, reduce friction, strengthen compliance and expand access at scale.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,2b9a251a-5464-4711-880a-5446c2483a19,2026,6a7c768116afc6a8747c99e6
A1005,"AI-Led Commerce: Building Intelligent, Trusted and Inclusive Trade Systems",2026-09-09,15:30,16:10,Lotus 3,Panel Discussion,,,public,false,"This panel explores the rise of algorithmic commerce, where AI is transforming trade, finance, and cross-border systems through automation and predictive intelligence. It focuses on building ecosystems that are intelligent, trusted, and inclusive, while addressing challenges around governance, transparency, and access. The discussion highlights how to enable responsible AI adoption without creating an “algorithmic divide,” especially for MSMEs.",Satish Srivastava,"Satish Srivastava, Chief Executive Officer, GSTN",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,6f47a7ee-dc94-48ff-a1b7-4d727755a6ff,2026,6a7c768116afc6a8747c99e9
A1157,Beyond Scale: What Should India's Fintech Ecosystem Focus on Next,2026-09-09,15:30,16:10,Lotus 2,Panel Discussion,"Fintech Growth, Trusted Innovation, Global Competitiveness",Fintech Growth;Trusted Innovation;Global Competitiveness,public,false,"India's fintech ecosystem has achieved unprecedented scale in digital payments, financial inclusion, and digital public infrastructure. The next phase of growth, however, will be defined by sustainable business models, trusted innovation, global expansion, and deeper customer impact. This session will explore the strategic priorities for the decade ahead—from AI-driven financial services and resilient infrastructure to profitability, regulatory collaboration, cybersecurity, and building globally competitive fintech champions.",Vibhav Hathi,"Vibhav Hathi, Co-founder & CBO, OneCard, and Chairman, FCC",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,e6ca900d-6a16-465e-a67d-949117ebdb1f,2026,6a7c768116afc6a8747c99e8
A1202,Advancing India’s Leadership in Trusted Cross-Border Payments,2026-09-09,15:45,16:45,Hall 104 A&B,Closed Room Session,"Cross-Border Payments, Digital Public Infrastructure, Economic Diplomacy",Cross-Border Payments;Digital Public Infrastructure;Economic Diplomacy,invite-only,true,"As cross-border payments reshape global trade, remittances, and digital commerce, India is uniquely positioned to lead the development of trusted, interoperable, and inclusive payment networks. This roundtable will bring together global policymakers, regulators, payment leaders, and technology experts to explore how digital public infrastructure can strengthen economic diplomacy, financial integrity, and international cooperation. The session will also feature the launch of The Dialogue's study on Trusted Cross-Border Payment Ecosystems, outlining a roadmap for secure, resilient, and globally connected payment architectures.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,802e8daf-4c6a-4e4e-8034-a0fc9b58c021,2026,6a7c768116afc6a8747c99ea
A0433,Investment Pitches by Fintech Yatra,2026-09-09,16:00,17:30,The Studio,Startup Pitches,,,invite-only,true,"Early-stage founders will be showcasing their idea and vision to the investor community. The top 10 startups pitch on India’s largest fintech stage before a jury of five senior venture investors and 30+ VCs, CVCs, and Family Offices.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,3d4a0feb-a669-468f-be9b-593a6a020288,2026,6a7c768116afc6a8747c99ee
A0742,From UPI to Global Commerce: Building Trusted Digital Payment Acceptance Across Borders,2026-09-09,16:00,16:40,Hall 205 A&B,Panel Discussion,"Cross-Border Payments, Ecommerce, Merchant Acceptance",Cross-Border Payments;Ecommerce;Merchant Acceptance,public,false,"India's digital payments success is increasingly becoming a catalyst for global commerce. As Indian businesses expand into international markets, the focus is shifting from domestic payment innovation to building trusted digital payment acceptance across borders. This session explores how merchants, payment infrastructure providers, and global financial networks are enabling seamless international transactions through interoperable payment rails, merchant acceptance, real-time settlement, and strategic partnerships. Join industry leaders as they discuss how collaboration across the payments ecosystem is helping Indian businesses participate confidently in the global digital economy while shaping the future of trusted cross-border commerce.",Akshat Mathur;Amir Nagammy;Sanjay Tripathy;Sujeet Tyagi,"Akshat Mathur, Head of Account Management, India, Unlimit;Amir Nagammy, Founder & Group CEO, Wizz Financial;Sanjay Tripathy, Co-Founder & CEO, BRISKPE;Sujeet Tyagi, Chief Operating Officer, Montran India",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,42ffadac-eab5-4ff8-9d11-a45442a5b215,2026,6a7c768116afc6a8747c99ed
A0779,Behavioural Risk in Retail Investing: The New Frontier of Investor Protection,2026-09-09,16:00,16:40,Lotus 1,Panel Discussion,"Retail Investing, Behavioural Finance, Investor Protection",Retail Investing;Behavioural Finance;Investor Protection,public,false,"Examines gamification, social trading, and herd behaviour — and regulatory responses to protect investors in a digital-first ecosystem.",Motilal Gopilal Oswal;Harsh Vardhan Roongta;Neil Borate,"Motilal Gopilal Oswal, CEO & Co-Founder , Motilal Oswal Financial Services Limited;Harsh Vardhan Roongta, Founder, Fee Only Investment Advisers LLP;Neil Borate, Editor-in-Chief, Thefynprint",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,272f2d73-97be-4646-bc2f-3294454e65c4,2026,6a7c768116afc6a8747c99be
A1057,Seeing the Unseen: Agentic Security & Observability,2026-09-09,16:00,18:00,Hall 102,Roundtable,,,invite-only,true,,,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,5f3a7186-b01b-4bba-81b5-03c0cb145dd3,2026,6a7c768116afc6a8747c99ec
A0851,AI and the Future of Business Correspondents: Driving Efficiency and Customer Experience,2026-09-09,16:05,16:45,Hall 206 A&B,Panel Discussion,"Business Correspondents, AI for Inclusion",Business Correspondents;AI for Inclusion,public,false,"As the Business Correspondent (BC) model scales, improving unit economics while delivering better customer service has become increasingly important. AI offers practical opportunities to support BC operations through assisted customer onboarding, multilingual voice-based interactions, document verification, fraud monitoring, intelligent customer support, and agent productivity tools. This session will examine realistic AI use cases that can lower operating costs, improve service quality, and strengthen the effectiveness of the BC network, while addressing implementation challenges such as data privacy, infrastructure, and digital literacy.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,780d611e-785f-43c6-b6b5-3fb725596b24,2026,6a7c768116afc6a8747c99ef
A0467,"Beyond Automation: RPA, AI & Cultural Readiness for Operational Excellence in Retail Banking",2026-09-09,16:15,16:55,Lotus 3,Panel Discussion,"Intelligent Automation, Operational Excellence, AI Transformation",Intelligent Automation;Operational Excellence;AI Transformation,public,false,"As retail banking operations become increasingly digital and high-volume, operational excellence now depends on more than just automation. This session explores how banks are combining RPA, AI, and intelligent workflows with organisational change and cultural readiness to build agile, scalable, and future-ready operations. Industry leaders will discuss how financial institutions are transforming onboarding, servicing, compliance, and back-office functions through intelligent automation while enabling workforce adaptability, cross-functional collaboration, and innovation-led operating models. The conversation will also highlight how banks can successfully drive AI adoption at scale by balancing technology transformation with people, processes, and change management.",Ganesh Ananthanarayanan;Sujay Kumar Yadav;Anoushka Dua,"Ganesh Ananthanarayanan, Executive Director-Business Operations, Airtel Payments Bank;Sujay Kumar Yadav, Managing Director & CEO, SBI Payment Services;Anoushka Dua, Head – Asia South and JANA Payments, Citi, Citibank",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,57a2b7a0-904b-4db2-bca0-b1a1a947a9f4,2026,6a7c768116afc6a8747c99f2
A0523,Powering the Future of Banking Innovation,2026-09-09,16:15,19:30,Hall 204 A&B,Hackathon,"Banking Innovation, AI Hackathon, Public Sector Banking",Banking Innovation;AI Hackathon;Public Sector Banking,public,false,"As part of the Global Fintech Fest 2026 (GFF 2026), the Department of Financial Services (DFS), in collaboration with the Indian Banks' Association (IBA) and 12 Public Sector Banks (PSBs), proudly presents the second edition of the PSB Hackathon Series–2026 — an initiative to redefine the future of banking through collaborative innovation. This landmark hackathon brings together public sector banking leadership, cutting-edge technology, and emerging talent from across India. Addressing mission-critical challenges, the hackathon focuses on GenAI, Cybersecurity and Fraud Prevention. Throughout this pan-India series, shortlisted teams from leading academic and innovation hubs have collaborated with experts from banks and academia to develop next-generation solutions tailored for real-world implementation.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,7407f398-f674-4bc4-9479-49af5dbb1b6b,2026,6a7c768116afc6a8747c99f1
A1087,GTM Masterclass - Hyper‑Scaling Corporate Onboarding in Bharat Connect for Business,2026-09-09,16:15,16:55,Cube,Masterclass,"Corporate Onboarding, Bharat Connect, Digital Adoption",Corporate Onboarding;Bharat Connect;Digital Adoption,public,false,"As businesses increasingly adopt digital payment ecosystems, seamless and scalable corporate onboarding has become a critical success factor. This masterclass will explore go-to-market strategies and technology frameworks for accelerating enterprise onboarding onto Bharat Connect for Business. Participants will learn how automation, digital workflows, API integrations, and intelligent onboarding journeys can reduce onboarding time, improve compliance, and enable rapid adoption across enterprises of all sizes, unlocking the full potential of India's digital payments infrastructure.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,6d10abc9-39f9-4a64-a1c9-3fbcda960771,2026,6a7c768116afc6a8747c99f0
A0702,"Intelligent Credit: Building Trust, Access & Scale in the Platform Economy",2026-09-09,16:20,17:00,Lotus 2,Panel Discussion,,,public,false,"AI-driven and embedded lending models are reshaping how consumers and businesses access credit across digital ecosystems. This session explores how alternative data, platform intelligence, and connected financial infrastructure are enabling scalable, contextual, and more inclusive credit experiences while balancing trust, transparency, and risk discipline.",Anil Goteti;Prakash Sikaria;Pratip Banerji;Chandan Khaitan,"Anil Goteti, Founder, Scapia;Prakash Sikaria, Founder & CEO, super.money;Pratip Banerji, General Manager - India & South Asia, Fiserv;Chandan Khaitan, Chief Executive Officer, Muthoot FinCorp ONE",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,3b7b30b1-0856-45e7-8b44-01819c669997,2026,6a7c768116afc6a8747c99f3
A0978,Depositories as Digital public infrastructure- The next phase of Market Infrastructure,2026-09-09,16:45,17:25,Lotus 1,Panel Discussion,"Digital Public Infrastructure, Securities, Market Infrastructure, Depositories","Digital Public Infrastructure;Securities, Market Infrastructure;Depositories",public,false,"Beyond record-keeping, reimagining depositories as real time trust, data and innovation engines for the Indian capital market",Vijay Chandok;Ajay Rajan,"Vijay Chandok, Managing Director & CEO, NSDL;Ajay Rajan, Managing Director & CEO, Protean eGov Technologies",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,d34bd4ca-7bde-4f62-be84-e3a11d3e5b89,2026,6a7c768116afc6a8747c9a16
A0906,AI Observability and Monitoring at Scale,2026-09-09,16:50,17:30,Hall 206 A&B,Panel Discussion,"AI Observability, Model Monitoring, AI Governance",AI Observability;Model Monitoring;AI Governance,public,false,"As AI systems move into production across financial services, continuous observability and monitoring are essential to ensure reliability, compliance and trust. This technical session will explore how institutions can track model performance, detect drift, measure explainability, maintain audit trails and identify emerging risks at scale. The discussion will examine monitoring architectures, governance dashboards, validation workflows, incident response and human oversight needed to keep AI systems safe, accountable and production-ready.",Bharat Joshi;Antony Vendhan,"Bharat Joshi, Co-founder & Chief Product Officer, VuNet Systems;Antony Vendhan, Co-founder, identy.io",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,ee85a84a-70b1-437b-b2c2-c8f6328fd48a,2026,6a7c768116afc6a8747c99f6
A1080,Building India's Next-Generation Credit Infrastructure,2026-09-09,16:50,17:30,Hall 205 A&B,Panel Discussion,"Credit Infrastructure, Open Credit, Inclusive Lending",Credit Infrastructure;Open Credit;Inclusive Lending,public,false,"India's digital public infrastructure is creating the foundation for a new era of inclusive, interoperable, and intelligent credit. By leveraging open networks, digital identity, consent-based data sharing, and AI-driven underwriting, the next generation of credit infrastructure can expand access for individuals, MSMEs, and underserved segments while improving efficiency and trust. This session will explore how banks, NBFCs, fintechs, policymakers, and open digital ecosystems can collaborate to build a scalable, innovation-led credit architecture that accelerates financial inclusion and supports India's next phase of economic growth.",Akshay Mehrotra;Yogi Rajkumar Sadana,"Akshay Mehrotra, MD & Group CEO, Fibe;Yogi Rajkumar Sadana, Founder & Chief Executive Officer, Zype",Antriksh Parmar,"Antriksh Parmar, Vice President, Open Network For Digital Commerce (ONDC)",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,a69a0381-2ee9-48f2-b622-481cc71ea8a7,2026,6a7c768116afc6a8747c99f5
A0952,"Composable Wealth: Building an AI-Ready Platform That Coexists, Integrates and Scales",2026-09-09,18:30,21:00,Hall 102,Roundtable,,,invite-only,true,$2c,Hari Menon;Saibal Ghosh,"Hari Menon, Partner & EVP | Global Delivery & Business Head - AI, Wealth, & Capital Markets, Intellect Design Arena;Saibal Ghosh, Head Investments & Wealth Solutions, The Hongkong & Shanghai Banking Corporation",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,afe1717b-0868-4a94-9d69-a910d55654db,2026,6a7c768116afc6a8747c99f7
